time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-08T08:52:31.190Z,44.7665,-111.6303333,11.46,0.6,ml,9,114,0.044,0.18,mb,mb80188654,2016-11-08T15:24:35.020Z,"43km WNW of West Yellowstone, Montana",earthquake,1.73,1.12,0.112,3,reviewed,mb,mb
2016-11-08T08:51:04.750Z,38.838665,-122.7860031,0.83,0.78,md,11,125,0.008469,0.02,nc,nc72721900,2016-11-08T09:11:02.460Z,"5km WNW of Cobb, California",earthquake,0.26,0.53,0.15,5,automatic,nc,nc
2016-11-08T08:35:40.924Z,39.6152,-120.0163,7.3,0,ml,9,70.3,0.043,0.1405,nn,nn00565844,2016-11-08T16:27:26.182Z,"7km SSW of Cold Springs, Nevada",earthquake,,1.6,0.69,4,reviewed,nn,nn
2016-11-08T08:21:34.400Z,38.822834,-122.8239975,-0.1,0.52,md,11,74,0.008623,0.03,nc,nc72721890,2016-11-08T08:48:02.416Z,"7km NW of The Geysers, California",earthquake,0.22,0.53,0.22,3,automatic,nc,nc
2016-11-08T08:21:09.920Z,36.1936667,-89.4215,10.61,1.5,md,16,58,0.03647,0.04,nm,nm60164466,2016-11-08T13:49:54.450Z,"9km SE of Ridgely, Tennessee",earthquake,0.34,0.59,0.012,7,reviewed,nm,nm
2016-11-08T08:20:51.030Z,34.028,-117.1696667,15.5,0.78,ml,44,66,0.04813,0.18,ci,ci37519639,2016-11-08T15:45:19.751Z,"3km SSE of Redlands, CA",earthquake,0.24,0.42,0.179,17,reviewed,ci,ci
2016-11-08T08:20:25.840Z,38.6558342,-122.7726669,6.27,1.26,md,7,195,0.05611,0.01,nc,nc72721885,2016-11-08T08:36:02.382Z,"9km ENE of Healdsburg, California",earthquake,1.1,0.91,0.17,6,automatic,nc,nc
2016-11-08T08:04:04.180Z,39.2845,-122.7473333,11.82,1.26,md,8,109,0.1149,0.06,nc,nc72721880,2016-11-08T18:40:02.751Z,"19km NNE of Nice, California",earthquake,0.38,1.2,0.17,9,reviewed,nc,nc
2016-11-08T07:44:28.000Z,53.3989,-163.4219,24.3,2.7,ml,,,,0.53,ak,ak14309911,2016-11-08T19:23:01.973Z,"161km S of False Pass, Alaska",earthquake,4.3,6.5,,,reviewed,ak,ak
2016-11-08T07:32:14.630Z,51.8383,-179.0501,35,4.9,mb,,125,1.127,1.51,us,us1000768y,2016-11-08T19:07:47.562Z,"62km W of Tanaga Volcano, Alaska",earthquake,11,2,0.051,119,reviewed,us,us
2016-11-08T07:31:23.000Z,62.9638,-150.2837,92.9,1.9,ml,,,,0.76,ak,ak14309899,2016-11-08T07:38:29.328Z,"71km N of Talkeetna, Alaska",earthquake,0.6,1.3,,,automatic,ak,ak
2016-11-08T07:26:16.310Z,34.2715,-118.4801667,11.3,1.26,ml,29,55,0.01046,0.21,ci,ci37519623,2016-11-08T14:02:40.498Z,"2km E of Granada Hills, CA",earthquake,0.46,0.57,0.195,27,reviewed,ci,ci
2016-11-08T07:13:28.395Z,37.3075,-115.4761,0,0.5,ml,16,94.28,0.352,0.1411,nn,nn00565843,2016-11-08T16:21:04.193Z,"28km WSW of Alamo, Nevada",earthquake,,0,0.5,4,reviewed,nn,nn
2016-11-08T07:08:03.000Z,-36.6082,-73.5222,22.21,5.1,mb,,111,0.3,0.87,us,us1000768w,2016-11-08T20:22:10.000Z,"38km WNW of Talcahuano, Chile",earthquake,6.1,5.1,0.064,80,reviewed,us,us
2016-11-08T07:03:02.690Z,35.5301666,-120.7731705,4.21,1.89,md,34,53,0.1089,0.06,nc,nc72721870,2016-11-08T07:25:02.246Z,"6km WSW of Templeton, California",earthquake,0.23,0.87,0.25,21,automatic,nc,nc
